Subjects,Valence_num,Valence,Noise,Pedestrians,Cars,Pupil,Neighbourhood_num,Neighbourhood,Socioeconomic_num,Socioeconomic,Sex_num
1,0,Negative,0.01076778917,0,0,2.3,1,Cumm,1,Middle,0
1,0,Negative,0.01251330342,0.4639175258,0.1546391753,[],1,Cumm,1,Middle,0
1,1,Positive,0.01037287181,0.412371134,0,2.52325703,1,Cumm,1,Middle,0
1,1,Positive,0.00979400607,0.09278350515,0,2.079852955,1,Cumm,1,Middle,0
1,1,Positive,0.01305880284,0.4845360825,0,2.505264791,1,Cumm,1,Middle,0
1,1,Positive,0.02494113156,0.1649484536,0,2.590279936,1,Cumm,1,Middle,0
1,0,Negative,0.01289854293,0.1030927835,0,[],1,Cumm,1,Middle,0
1,1,Positive,0.0259308269,0.1443298969,0.1649484536,2.156506462,1,Cumm,1,Middle,0
1,0,Negative,0.02953245765,0.2577319588,0.4742268041,2.1930148,1,Cumm,1,Middle,0
1,1,Positive,0.01275461469,0.5670103093,0,2.538807341,1,Cumm,1,Middle,0
1,0,Negative,0.01012014576,1.350515464,0,2.278106673,1,Cumm,1,Middle,0
1,1,Positive,0.02097921075,0.8144329897,0,2.337927504,1,Cumm,1,Middle,0
1,1,Positive,0.01876108684,0.8556701031,0,2.476665106,1,Cumm,1,Middle,0
1,0,Negative,0.0201916516,1.340206186,0,[],1,Cumm,1,Middle,0
1,0,Negative,0.01497895835,2.329896907,0,2.4039883,1,Cumm,1,Middle,0
1,0,Negative,0.01387684055,1.309278351,0,2.416764691,1,Cumm,1,Middle,0
1,0,Negative,0.01697710559,0,0,[],1,Cumm,1,Middle,0
1,1,Positive,0.01476637515,0,0.1134020619,[],1,Cumm,1,Middle,0
1,1,Positive,0.01796480225,0,0.0618556701,[],1,Cumm,1,Middle,0
1,1,Positive,0.01019631166,0,0,[],1,Cumm,1,Middle,0
1,1,Positive,0.01286311104,0.0824742268,0.03092783505,[],1,Cumm,1,Middle,0
1,1,Positive,0.01371127613,1.597938144,0,[],1,Cumm,1,Middle,0
1,0,Negative,0.02797568972,0,0,[],1,Cumm,1,Middle,0
1,0,Negative,0.03586175099,0,0.7010309278,[],1,Cumm,1,Middle,0
1,0,Negative,0.01604365076,0.2268041237,0.01030927835,[],1,Cumm,1,Middle,0
1,0,Negative,0.0217190047,0.09278350515,0,[],1,Cumm,1,Middle,0
