"Subjects","Valence","Noise","Neighbourhood","Socioeconomic","Sex"
1,"Negative",0.01076778917,"Cumm","Middle","Male"
1,"Negative",0.01251330342,"Cumm","Middle","Male"
1,"Positive",0.01037287181,"Cumm","Middle","Male"
1,"Positive",0.00979400607,"Cumm","Middle","Male"
1,"Positive",0.01305880284,"Cumm","Middle","Male"
1,"Positive",0.02494113156,"Cumm","Middle","Male"
1,"Negative",0.01289854293,"Cumm","Middle","Male"
1,"Positive",0.0259308269,"Cumm","Middle","Male"
1,"Negative",0.02953245765,"Cumm","Middle","Male"
1,"Positive",0.01275461469,"Cumm","Middle","Male"
1,"Negative",0.01012014576,"Cumm","Middle","Male"
1,"Positive",0.02097921075,"Cumm","Middle","Male"
1,"Positive",0.01876108684,"Cumm","Middle","Male"
1,"Negative",0.0201916516,"Cumm","Middle","Male"
1,"Negative",0.01497895835,"Cumm","Middle","Male"
1,"Negative",0.01387684055,"Cumm","Middle","Male"
1,"Negative",0.01697710559,"Cumm","Middle","Male"
1,"Positive",0.01476637515,"Cumm","Middle","Male"
1,"Positive",0.01796480225,"Cumm","Middle","Male"
1,"Positive",0.01019631166,"Cumm","Middle","Male"
1,"Positive",0.01286311104,"Cumm","Middle","Male"
1,"Positive",0.01371127613,"Cumm","Middle","Male"
1,"Negative",0.02797568972,"Cumm","Middle","Male"
1,"Negative",0.03586175099,"Cumm","Middle","Male"
1,"Negative",0.01604365076,"Cumm","Middle","Male"
1,"Negative",0.0217190047,"Cumm","Middle","Male"
1,"Negative",0.0183808771,"Cumm","Middle","Male"
1,"Negative",0.0175826589,"Cumm","Middle","Male"
2,"Negative",0.01662789379,"Cumm","Middle","Male"
2,"Positive",0.01419847468,"Cumm","Middle","Male"
2,"Negative",0.006767965047,"Cumm","Middle","Male"
2,"Negative",0.01471279913,"Cumm","Middle","Male"
2,"Negative",0.02119753351,"Cumm","Middle","Male"
2,"Negative",0.005207237851,"Cumm","Middle","Male"
2,"Negative",0.01022465546,"Cumm","Middle","Male"
2,"Negative",0.02439359211,"Cumm","Middle","Male"
2,"Negative",0.0126481778,"Cumm","Middle","Male"
2,"Positive",0.01499203209,"Cumm","Middle","Male"
2,"Positive",0.0122868178,"Cumm","Middle","Male"
2,"Positive",0.01338318458,"Cumm","Middle","Male"
2,"Positive",0.007685055483,"Cumm","Middle","Male"
2,"Negative",0.01417375147,"Cumm","Middle","Male"
2,"Positive",0.01893960759,"Cumm","Middle","Male"
2,"Negative",0.01325702187,"Cumm","Middle","Male"
2,"Negative",0.007205451631,"Cumm","Middle","Male"
2,"Positive",0.01062199527,"Cumm","Middle","Male"
2,"Positive",0.04089602847,"Cumm","Middle","Male"
2,"Negative",0.02804929588,"Cumm","Middle","Male"
2,"Negative",0.02623950133,"Cumm","Middle","Male"
2,"Negative",0.03400916945,"Cumm","Middle","Male"
2,"Negative",0.02535732252,"Cumm","Middle","Male"
3,"Positive",0.01097206195,"Cumm","Middle","Female"
3,"Negative",0.002395929373,"Cumm","Middle","Female"
3,"Positive",0.01011347333,"Cumm","Middle","Female"
3,"Negative",0.007192613257,"Cumm","Middle","Female"
3,"Negative",0.01210848227,"Cumm","Middle","Female"
3,"Positive",0.009569152765,"Cumm","Middle","Female"
3,"Negative",0.003808773888,"Cumm","Middle","Female"
3,"Positive",0.004026529594,"Cumm","Middle","Female"
3,"Negative",0.01157294289,"Cumm","Middle","Female"
3,"Positive",0.01311028471,"Cumm","Middle","Female"
3,"Negative",0.01219800484,"Cumm","Middle","Female"
